Method,Models,Dataset,Baselines,Metrics,localization,only localization,Perturbation,only qualitative,User Study
eX-ViT,Custom architecture with Deit backbone,"PASCAL VOC 2012, MS COCO 2014","Raw Attention, Rollout, Grad-CAM, Partial LRP, Transformer Attribution, GAE","Weakly-supervised segmentation (AP, AR)",x,x,,,
ProtoPFormer,"Custom architecture with DeiT-Ti, DeiT-S backbones","CUB-200-2011, Stanford Dogs, Stanford Cars","ProtoPNet, ProtoTree, TesNet, Def. ProtoPNet, ViT-Net",-,,,,x,
Attribution Rollout,ViT-B,"ImageNet, ImageNet-Segmentation","Rollout, Grad-CAM, Transformer Attribution, TAM, attattr","Perturbation tests (Positive/Negative AUC), Weakly-supervised segmentation (AP, AR)",x,,x,,
ViT-CX,"ViT-B, DeiT-B, Swin-B",ImageNet,"Rollout, Partial LRP, Transformer Attribution, GAE, TAM, Occlusion, RISE, Score-CAM, Grad-CAM, Integrated Gradients, SmoothGrad, ViT Shapley","Deletion/Insertion AUC, Pointing Game Accuracy",x,,x,,
Bcos-ViT ,"Custom B-cos ViT architecture with ViT-B, ViT-T, ViT-S",ImageNet,"Rollout, Raw Attention, Transformer Attribution, Partial LRP, GradSAM, Grad-CAM, Integrated Gradients, IxG","Grid Pointing Game, Perturbation tests (Positive/Negative AUC)",x,,x,,
Beyond Intuition,"ViT-B, ViT-L, ViT-MAE","ImageNet, ImageNet-Segmentation","Raw Attention, Rollout, GAE, Grad-CAM, Partial LRP, Transformer Attribution","Perturbation tests (Positive/Negative AUC), Segmentation metrics (pixel accuracy, mIoU, mAP, mF1)",x,,x,,
Vision DiffMask,ViT-B,"CIFAR-10, ImageNet-1K, a custom synthetic dataset for counting patches for the ""Faithfulness Task""","Grad-CAM, Rollout, Transformer Attribution",Perturbation tests (Positive/Negative AUC for KL divergence and accuracy),,,x,,
ICE,"Custom architecture based on DeiT-S, DeiT-T, ViT-S AugReg, ViT-T AugReg","ImageNet-Segmentation, CUB-200-2011, PASCAL VOC 07, PASCAL VOC 12","Grad-CAM, Rollout, Partial LRP, Transformer Attribution","Segmentation metrics (Pixel-wise accuracy, mIoU)",x,x,,,
R-Cut,ViT-B,"ImageNet-1K, LRN (autonomous driving hazard alerts)","Raw Attention, Rollout, Grad-CAM, Transformer Attribution","Point Game Test, IoU, Perturbation tests (Positive/Negative AUC)",x,,x,,
IA-ViT,Custom architecture using ViT-B,"CIFAR10, STL10, Dog & Cat, CelebA","Rollout, AttGrads",Deletion/Insertion scores,,,x,,
TIS,"ViT-B, DeiT-B",ImageNet,"ViT-CX, TAM, Transformer Attribution, GAE, Rollout, BT-T/H, RISE, Integrated Gradients, SmoothGrad","Faithfulness (Insertion/Deletion with various baselines), Localization (Pointing Game), Robustness (Max-Sensitivity), Complexity (Sparseness)",x,,x,,
ViT-ReciproCAM,"DeiT-B, DeiT-S",ImageNet,"Rollout, Transformer Attribution",ADCC (Average Drop-Coherence-Complexity),,,x,,
DIX,"ViT-B, ViT-S","ImageNet, ImageNet-Segmentation, COCO, PASCAL VOC","Transformer Attribution, GAE","Perturbation tests (Positive/Negative AUC), Insertion/Deletion AUC, Average Drop Percentage, Percentage Increase in Confidence, Accuracy Information Curve, Softmax Information Curve, Segmentation metrics (Pixel Accuracy, mIoU, mAP, mF1)",x,,x,,
LTX,ViT-B,ImageNet,"Rollout, Raw Attention, Grad-CAM, Partial LRP, Transformer Attribution, GAE","Perturbation tests (Positive/Negative AUC), Insertion/Deletion AUC",,,x,,
INVERT,-,-,-,-,,,,,
Class Representations ,ViT-B,ImageNet-S,Transformer Attribution,"Perturbation tests (Positive/Negative AUC),",,,x,,
INTR,"Custom architecture with different backbones (DETR, DeiT-S, ViT-H)","Birds-525, CUB-200-2011, Cambridge butterfly, iNaturalist-2021-Fish, Stanford Dogs, Oxford Pet, Stanford Cars, FGVC-Aircraft","ProtoPNet, ProtoTree, ProtoPFormer",-,,,,x,
Stat. Attention,"Swin Transformer, ViT","ImageNet, ImageNet-Segmentation","Transformer Attribution, Raw Attention","Segmentation metrics (mIoU, mAP, Pixel Acc, mF1), Perturbation tests (Positive/Negative AUC)",x,,x,,
CDAM,DINO with ViT-S,ImageNet,"Raw Attention, GAE, Token ablation map",-,,,,x,
C2F-Explainer,ViT-B,"ImageNet, COCO, PASCAL VOC, BraTS (Brain Tumor Segmentation)","Rollout, Transformer Attribution, Partial LRP, Grad-CAM, ViT-CX, Raw Attention, TIS","Segmentation metrics (mIoU, Pixel Acc, Dice)",x,,,,
B-cos Alignment,B-cos versions of ViT-B,ImageNet,"Transformer Attribution, GradSAM, Grad-CAM, Rollout, Raw Attention, Input×Gradient, Integrated Gradients","Localization (Grid Pointing Game), Perturbation tests (Positive/Negative AUC, ABC)",x,,x,,
B-Cos Aligned Transformers,"B-cos versions of ViT-T, ViT-S, Swin-T","TCGA-COAD-20X, Munich-AML-Morphology","Standard ViT and Swin models, Rollout, Raw Attention, Grad-CAM, LRP, Transformer Attribution",Domain expert user study (Ranking according to whether model attends to biomedically relevant features),,,,,x
Attention Guided CAM,ViT-B,"ImageNet, PASCAL VOC, CUB-200-2011","Rollout, Transformer Attribution","Weakly-supervised localization (Pixel accuracy, IoU, Dice, Precision, Recall), Pixel Perturbation (LeRF, MoRF, ABPC)",x,,x,,
AttnLRP,ViT-B,ImageNet,"Input x Gradient, Integrated Gradients, SmoothGrad, Grad-CAM, Rollout, Grad×Rollout, AtMan, CP-LRP",Perturbation tests (area between the least and most relevant order perturbation curves),,,x,,
T-TAME,ViT-B,ImageNet,"Grad-CAM, Grad-CAM++, Score-CAM, Ablation-CAM, RISE, Transformer Attribution, IIA","Increase in Confidence (IC), Average Drop (AD), ROAD metrics (MoRF, LeRF)",,,x,,
R2R Proto,Custom architecture based on Convolutional Vision Transformer (CvT),ChestX-Ray8,"Information Bottleneck Attribution (IBA), Grad-CAM",-,,,,x,
TokenTM,"DeiT, ViT-B, ViT-L","CIFAR-10, CIFAR-100, ImageNet, ImageNet-Segmentation","Grad-CAM, LRP, Transformer LRP, Transformer Attribution, Raw Attention, Rollout, ATTCAT, GAE","Segmentation metrics (Pixel Accuracy, mIoU, mAP), Perturbation tests (Positive/Negative AUC), Area Over the Perturbation Curve (AOPC) and Log-odds score (LOdds)",x,,x,,
LeGrad,ViT-B,ImageNet,"Partial LRP, Rollout, Raw Attention, Grad-CAM, Attention-CAM, GAE",Perturbation tests (Positive/Negative AUC),,,x,,
SkipPLUS,"EVA Large, ViT-B","ImageNet, ImageNet-Segmentation, MURA","Raw Attention, Rollout, GlobEnc+Rollout, GlobEnc+SkipPLUS, ALTI+Rollout, ALTI+SkipPLUS, DecompX, DecpompX+SkipPLUS, Grad-CAM, Grad-CAM++, XGrad-CAM+, Grad-CAMElementWise, HiResCAM, AttCAm,. VanillaGrad, IxG,FullGrad+, ...","Deletion & Insertion AUC, segmentation (AP)",x,,x,,
PACE,ViT-B,"Custom synthetic ""Color"" dataset, Oxford 102 Flower, Stanford Cars, CUB-200-2011","SHAP, LIME, Saliency, AGI, CRAFT","Faithfulness (Linear), Stability (Difference between concepts under augmentation), Sparsity",,,,,
FovEx,ViT-B,"ImageNet-1K, MIT1003 (for human gaze correlation)","Grad-CAM, GAE, RISE, Meaningful Perturbation, Class Embedding Projection","Perturbation tests (Avg % Drop, Avg % Increase, Deletion, Insertion), Energy-based pointing game, Human-gaze Correlation (NSS, AUCJ)",x,,x,,
ProtoViT,"Custom architecture based on DeiT-S, DeiT-T, CaiT-XXS",CUB-200-2011,"ProtoPNet, Deformable ProtoPNet",-,,,,x,
B-cosification,"B-cosified versions of ViT-T, Vit-S, ViT-B, ViT-L",ImageNet,"Guided Backprop, Gradient, DeepLIFT, IxG, Integrated Gradients, Grad-CAM",Grid Pointing Game,x,x,,,
PDiscoFormer,Custom architecture based on DINOv2 with ViT-B backbone,"CUB-200-2011, PartImageNet, Oxford 102 Flower","DINO, PDiscoNet, Huang et al.","Normalized Mutual Information (NMI), Adjusted Rand Index (ARI), keypoint regression (Kp), mIoU",x,,,,
ULTra,CLIP image encoder ViT-B,"COCO-Stuff 27, PASCAL VOC 2012, Potsdam-3","IIC, DINO, PiCIE, ACSeg, STEGO, DepthG, U2Seg","Segmentation metrics (mIoU, pixel accuracy)",x,x,,,
ICEv2,Custom architecture based on DeiT-S,"ImageNet-Segmentation, CUB-200-2011, ECSSD, DUTS, DUT-OMRON, and Pascal VOC 07/12","Grad-CAM, Rollout, Partial LRP, Transformer Attribution, RobustViT, TS-CAM, LOST, TokenCut, Raw Attention, Shape Distillation, DINO","Pixel-wise accuracy, Mean IoU, Jaccard index (Jaccard similarity), Top-1 Cls, GT Loc, Top-1 Loc, CorLoc, IoU, Acc, max Fβ",x,,,,
NAVE,"ViT-S, ViT-B (supervised and self-supervised with DINO, DINOv2)","Pascal VOC 07/12, COCO20k, Chest-X-RAY, STL-10, ImageNet-1K","DINO-seg, LOST, TokenCut, SLIC, WCL",Object Localization (AP@50),x,x,,,
ViTmiX,ViT-B,"PASCAL VOC 2012, PH2 Dataset","Grad-CAM, LRP, Saliency, Rollout and combinations of those according to the proposed mixing scheme","Segmentation Metrics (mIoU, F1, Pixel Accuracy)",x,x,,,
AttEXplore++,"MaxViT-T, ViT-B",ImageNet,"BIG, DeepLIFT, EG, FIG, GIG, Integrated Gradients, MFABA, SG, SM, AGI, AttEXplore",Deletion & Insertion AUC,,,x,,
Prompt-CAM,"prompt-based add-on to DINO, DINOv2, each with ViT-B, ViT-S","CUB-200-2011, Birds-525, Stanford Dogs, Oxford Pet, iNaturalist-2021-Moths, Fish Vista, Rare Species, Insects-2, iNaturalist-2021Fungi, Oxford Flowers, Medicinal Leaf, Stanford Cars, Food 101","Grad-CAM, Layer-CAM, Eigen-CAM, Rollout, ProtoPFormer, TesNet, ProtoConcepts, INTR",Deletion & Insertion AUC,,,x,,
P-TAME,ViT-B,ImageNet,"Grad-CAM, Grad-CAM++, RISE, Score-CAM, Ablation-CAM, T-TAME, Opti-CAM","Average Drop (AD), Increase in Confidence (IC), MoRF, LeRF, ROAD",,,,,
REPEAT,ViT-B,"MS-COCO, Pascal VOC, EuroSAT","RELAX, Saliency, Guided-Backpropagation, Integrated Gradients",efficient Model Parameter Randomisation Test (eMPRT),,,,,
WASUP,Custom architecture based on Hybrid Vision Transformer (VitC),"Pascal VOC, Stanford Dogs, RSNA",-,-,,,,x,
A-SAE,"DINOv2, ViT","ImageNet, their own synthetic datasets (Animals, Birds, Books, Candy, Cards, Cocktails, Flowers, Gems, Landscapes, Planets, Potions, Watches)","Vanilla SAE, TopK SAE, Jump SAE, SNMF, CNMF, K-Means, ICA, Sparse PCA, SVD, SemiNMF, ConvexNMF, PCA","Reconstruction Error (R2), Dead Codes, Stability, OOD Score, Stable Rank, Effective Rank, Coherence, Connectivity, Negative Interference, Plausibility Score, Soft Identifiability Accuracy",,,,,
HiT,"Proposed model HiT in its variants HiT-B, HiT-S based on DeiT","ImageNet, CUB-200-2011, Stanford Dogs, Stanford Cars, FGVC-Aircraft, Oxford-IIIT Pets","B-cos, A-ViT, ProtoPFormer, DeiT+Grad-CAM, DeiT+Rollout, HiT+Grad-CAM, HiT+Rollout",Deletion & Insertion AUC,,,x,,
SALF-CBM,Custom architecture with ViT-B backbone,"ImageNet, CUB-200-2011, Places365","LRP, Integrated Gradients, Grad-CAM, Grad-CAM++, Score-Cam, FullGrad","Segmentation metrics (Pixel Accuracy, mIoU, mAP)",x,x,,,
NeuronPath,"ViT-B, ViT-L",ImageNet-1K,"Activation-based, Influence Pattern","Joint Attribution Score (JAS), Removal Accuracy Deviation, Enhancement Accuracy Deviation, Pruning accuracy",,,,,
Proto Non-param,"Custom architecture with DINOv2 (ViT-B, ViT-S) and DINO (ViT-B) backbones","CUB-200-2011, Stanford Dogs, Stanford Cars","ProtoPNet, Deformable ProtoPNet, ProtoPool, TesNet, EvalProtoPNet","Consistency Score, Distinctiveness Score, Comprehensiveness Score, Stability Score",,,,,
DAAM,"DeiT-S, DeiT-T, DINO-ViT-S, CaiT-S, T2T-ViT, ViT-S, ViT-B, XCiT-M",ImageNet,"RISE, IIA, GAE, Transformer Attribution, Grad-CAM, Grad-CAM++, XGrad-CAM, Layer-CAM, Ablation-CAM, Score-CAM","Deletion & Insertion AUC, Perturbation tests (Positive/Negative AUC), ADP, PIC, IoU",x,,x,,
GMAR,ViT-L,Tiny-ImageNet,"Grad-CAM, Rollout","Average Drop, Average Increase, Deletion & Insertion AUC",,,x,,
MDA,"ViT-B, ViT-T","ImageNet, ImageNet Segmentation","Grad-CAM, Integrated Gradients, TAM, Transformer Attribution, ViT-CX, TIS, Beyond Intuition","Deletion & Insertion AUC, MAS (Magnitude Aligned Scoring), Pointing Game, Perturbation tests (Positive/Negative AUC), Monotonicity",,,x,,
PM,Custom architecture with ViT-S and ViT-B AugReg backbone,"ImageNet-1k, ImageNet-A, ImageNet-R, ImageNet-Sketch, ObjectNet, OpenImages30k, CUB-200-2011, ImageNet-Segmentation","RobustViT, Patch Gradient Map (PGM), GAE","Remove-and-classify, Top-1 Loc, GT-Known localization accuracy, MaxBoxAccV2, PxAP",x,,x,,
InFlow,"ViT-B, ViT-T",ImageNet,"Raw Attention, Naive Rollout, Rollout, Beyond Attention, TAM, Transformer Attribution","SIC (Segment Insertion Curve), AIC (Area under Insertion Curve), RISE Tests (Ins/Del), MAS Tests",,,x,,
iFAM,"Custom architecture based on DINOv2 (ViT-B), RAD-DINO","MetaShift cat vs. dog, Waterbirds, Waterbird200, SIIM-ACR, ImageNet-9 Backgrounds Challenge","Empirical Risk Minimization (ERM), ViT-B DINOv2 frozen/finetuned/PCA, PDiscoFormer, Early/Late mask (based onf saliency method FOUND); Early/Late ground truth mask, MaskTune, GroupDRO, DISC","WGA (Worst Group Accuracy), BG-GAP, WG AUC, Foreground mIoU, Keypoint Regression",x, ,,,
LE-ProtoPNet,Custom architecture with DINO ViT as backbone,CUB-200-2011,-,-,,,,x,
PA-LRP,"DeiT-T, DeiT-S, DeiT-B","ImageNet, ImageNet Segmentation",AttnLRP,"Perturbation tests (Positive/Negative AUC), Segmentation metrics (pixel-accuracy, mAP, mIoU)",x,,x,,
GCC,ViT-B,ImageNet-1K,"Automatic discovery of visual circuits (AVCD), Visual concept connectome (VCC)","Positive/Negative Ablations (logit drop), Edge Deletion/Insertion, User study",,,x,,x
SemanticLens,"ViT-S, Vit-B, ViT-L, DINOv2","ImageNet, ISIC 2019",-,"human-interpretability measures (clarity, polysemanticity, similarity, and redundancy)",,,,,x
Integrating Attention,ViT,"ImageNet, Broden",-,testing with concept activation vectors (TCAV).,,,,,
RRM,"ViT-B, DINOv2 (ViT-B)",ImageNet-1K,"Random circuit, Naïve circuit, Neuron circuit, CLA (Cross-Layer Alignment)","Adjusted Dice Score, AUC of metrics for Faithfulness, Completeness, Causality",x,,x,,
MUTEX,"ViT-B, DeiT-B","ImageNet, BloodMNIST","TIS, ViT-CX, TAM, Transformer Attribution, GAE, Beyond Intuition, RISE, Integrated Gradients, SmoothGrad, Grad-CAM, Grad-CAM++, Score-Cam","Deletion & Insertion AUC, Faithfulness Violation Test, Pointing Game",x,,x,,
autoXplain,MaxViT-t,"Custom datasets of 200 randomly collected images, Cats and dogs for bias detection",Grad-CAM,"user studies, confusion matrix analysis",,,,,x
RFEM,ViT-B,"MexCulture, SALICON, ImageNet-1K","AttnLRP, Rollout, SAW, Grad×Relevance, Grad-CAM, CB-CAM","Deletion & Insertion AUC, ΔAF, AG, AD (Faithfulness); LIP, LSS (Stability); SIM, PCC, NSS, AUC-Judd (Plausibility)",,,x,,
VisionLogic,"ViT-B, Swin-T",ImageNet,"Grad-CAM, Grad-CAM++, Score-CAM, LayerCAM","Localization ability (loc1, loc5), Number of valid predicates, Local explanation complexity, Global explanation complexity, coverage, agreement ratio, Top-1 accuracy, Top-5 accuracy",x,,,,
FaCT,Custom architecture based on B-cos ViT-S,ImageNet,"B-cos channels, CRAFT, CRP","C2-score (Concept-consistency), User study interpretability rating, Concept deletion",,,x,,x
,,,,,,,,,
,,,,,34,8,38,10,6
