Method,Models,Dataset,Baselines,Metrics,localization,only localization,Perturbation,only qualitative,User Study
Transformer Attribution,ViT-B,"ImageNet, ImageNet-Segmentation","Raw Attention, Rollout, Grad-CAM, Partial LRP, LRP","Perturbation tests (Positive/Negative AUC), Segmentation metrics (pixel-accuracy, mAP, mIoU)",x,,x,,
GAE,"ViT-B, DETR","MSCOCO, ImageNet","Rollout, Grad-CAM, Partial LRP, Transformer Attribution, Raw Attention","Perturbation tests (Positive/Negative AUC), Weakly-supervised segmentation (AP, AR)",x,,x,,
IA-RED2,"Custom architecture based on DeiT-S, DeiT-B","ImageNet-1k, ImageNet-Segmentation","MemNet, Raw Attention, LIME, Grad-CAM, LRP","Segmentation metrics (pixel accuracy, mAcc, mIoU)",x,x,,,
TAM,ViT-B,"ImageNet, ImageNet-Segmentation","Raw Attention, Rollout, Transformer Attribution","Deletion & Insertion AUC, Perturbation tests (Positive/Negative AUC), Segmentation metrics (Pixel Accuracy, mIoU, mAP), Energy-based Pointing Game",x,,x,,
RELAX,ViT,"PASCAL VOC07, MSCOCO2014, ImageNet","Saliency, Smooth Saliency, Guided Saliency, Integrated Gradients, Grad-CAM","Localization (Pointing game, top-k intersection, relevance rank), Faithfulness (Monotonicity), Human Evaluation (user study)",x,,,,x
ConceptTransformer,Custom architecture using ViT backbone,CUB-200-2011 (birds),-,-,,,,x,
Patch Interactions,"ViT-B (as baseline for accuracy), WinfT (their own model)","ImageNet, CUB-200-2011",-,-,,,,x,
ViT Shapley,"ViT-B, ViT-T, ViT-S, ViT-L","ImageNette, MURA, Oxford-IIIT Pets","Attention last, Rollout, Grad-CAM, IntGrad, Vanilla Gradient, SmoothGrad, VarGrad, LRP, Leave-one-out, RISE","Insertion/Deletion AUC, Faithfulness (nearly identical to sensitivity-n, only it calculates the correlation across subsets of all sizes (Bhatt et al., 2021)), Sensitivity-n, ROAR",,,x,,
CAT-XPLAIN,"Custom architecture based on ViT, ViT for post-hoc baseline","MNIST, FMNIST, CIFAR (subsets for binary classification)",post-hoc explainer ViT,Average Causal Effect (ACE),,,,,
ViT-NeT,Custom architecture using Swin-B or DeiT-B backbones,"CUB-200-2011, Stanford Dogs, Stanford Cars",-,-,,,,x,
